jitter_duration,background_color,reappraise_or_look,image_file
4.3202,#0000ff,Resources/reappraise.jpg,Resources/crave02.jpg
3.5192,#00cd00,Resources/look.jpg,Resources/neutral04.jpg
4.0683,#00cd00,Resources/look.jpg,Resources/crave16.jpg
3.8414,#00cd00,Resources/look.jpg,Resources/crave11.jpg
3.3482,#00cd00,Resources/look.jpg,Resources/neutral08.jpg
5.2691,#00cd00,Resources/look.jpg,Resources/nocrave08.jpg
5.5,#00cd00,Resources/look.jpg,Resources/crave30.jpg
5.5,#0000ff,Resources/reappraise.jpg,Resources/crave38.jpg
2.7788,#00cd00,Resources/look.jpg,Resources/nocrave11.jpg
2.5387,#00cd00,Resources/look.jpg,Resources/nocrave15.jpg
4.4633,#0000ff,Resources/reappraise.jpg,Resources/crave33.jpg
4.7267,#0000ff,Resources/reappraise.jpg,Resources/crave32.jpg
3.6887,#00cd00,Resources/look.jpg,Resources/crave31.jpg
4.2202,#00cd00,Resources/look.jpg,Resources/neutral17.jpg
4.0206,#00cd00,Resources/look.jpg,Resources/neutral16.jpg
4.8144,#00cd00,Resources/look.jpg,Resources/crave19.jpg
3.8904,#00cd00,Resources/look.jpg,Resources/nocrave01.jpg
5.1556,#00cd00,Resources/look.jpg,Resources/neutral09.jpg
3.154,#0000ff,Resources/reappraise.jpg,Resources/crave29.jpg
3.0302,#00cd00,Resources/look.jpg,Resources/nocrave18.jpg
