jitter_duration,background_color,reappraise_or_look,image_file
4.3202,#00cd00,Resources/look.jpg,Resources/crave15.jpg
3.5192,#00cd00,Resources/look.jpg,Resources/neutral13.jpg
4.0683,#00cd00,Resources/look.jpg,Resources/nocrave10.jpg
3.8414,#00cd00,Resources/look.jpg,Resources/crave25.jpg
3.3482,#0000ff,Resources/reappraise.jpg,Resources/crave27.jpg
5.2691,#00cd00,Resources/look.jpg,Resources/neutral14.jpg
5.5,#00cd00,Resources/look.jpg,Resources/crave05.jpg
5.5,#00cd00,Resources/look.jpg,Resources/nocrave19.jpg
2.7788,#00cd00,Resources/look.jpg,Resources/neutral12.jpg
2.5387,#0000ff,Resources/reappraise.jpg,Resources/crave12.jpg
4.4633,#00cd00,Resources/look.jpg,Resources/nocrave02.jpg
4.7267,#00cd00,Resources/look.jpg,Resources/nocrave13.jpg
3.6887,#0000ff,Resources/reappraise.jpg,Resources/crave37.jpg
4.2202,#0000ff,Resources/reappraise.jpg,Resources/crave14.jpg
4.0206,#00cd00,Resources/look.jpg,Resources/crave03.jpg
4.8144,#00cd00,Resources/look.jpg,Resources/crave18.jpg
3.8904,#00cd00,Resources/look.jpg,Resources/neutral10.jpg
5.1556,#00cd00,Resources/look.jpg,Resources/neutral03.jpg
3.154,#00cd00,Resources/look.jpg,Resources/nocrave05.jpg
3.0302,#0000ff,Resources/reappraise.jpg,Resources/crave39.jpg
