jitter_duration,background_color,reappraise_or_look,image_file
4.3202,#0000ff,Resources/reappraise.jpg,Resources/crave35.jpg
3.5192,#00cd00,Resources/look.jpg,Resources/neutral06.jpg
4.0683,#00cd00,Resources/look.jpg,Resources/nocrave04.jpg
3.8414,#00cd00,Resources/look.jpg,Resources/crave09.jpg
3.3482,#00cd00,Resources/look.jpg,Resources/crave21.jpg
5.2691,#00cd00,Resources/look.jpg,Resources/neutral15.jpg
5.5,#00cd00,Resources/look.jpg,Resources/neutral07.jpg
5.5,#0000ff,Resources/reappraise.jpg,Resources/crave26.jpg
2.7788,#0000ff,Resources/reappraise.jpg,Resources/crave23.jpg
2.5387,#00cd00,Resources/look.jpg,Resources/nocrave07.jpg
4.4633,#00cd00,Resources/look.jpg,Resources/crave22.jpg
4.7267,#00cd00,Resources/look.jpg,Resources/nocrave16.jpg
3.6887,#00cd00,Resources/look.jpg,Resources/neutral19.jpg
4.2202,#00cd00,Resources/look.jpg,Resources/nocrave06.jpg
4.0206,#00cd00,Resources/look.jpg,Resources/crave24.jpg
4.8144,#0000ff,Resources/reappraise.jpg,Resources/crave04.jpg
3.8904,#00cd00,Resources/look.jpg,Resources/neutral01.jpg
5.1556,#00cd00,Resources/look.jpg,Resources/nocrave09.jpg
3.154,#0000ff,Resources/reappraise.jpg,Resources/crave28.jpg
3.0302,#00cd00,Resources/look.jpg,Resources/crave10.jpg
