jitter_duration,background_color,reappraise_or_look,image_file
0.7583,#0000ff,Resources/reappraise.jpg,Resources/crave35.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/neutral06.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/nocrave04.jpg
2.0223,#00cd00,Resources/look.jpg,Resources/crave09.jpg
0.7583,#00cd00,Resources/look.jpg,Resources/crave21.jpg
1.2639,#00cd00,Resources/look.jpg,Resources/neutral15.jpg
1.0111,#00cd00,Resources/look.jpg,Resources/neutral07.jpg
0.8847,#0000ff,Resources/reappraise.jpg,Resources/crave26.jpg
0.7583,#0000ff,Resources/reappraise.jpg,Resources/crave23.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/nocrave07.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/crave22.jpg
0.7583,#00cd00,Resources/look.jpg,Resources/nocrave16.jpg
1.0111,#00cd00,Resources/look.jpg,Resources/neutral19.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/nocrave06.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/crave24.jpg
1.0111,#0000ff,Resources/reappraise.jpg,Resources/crave04.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/nocrave20.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/nocrave09.jpg
1.0111,#0000ff,Resources/reappraise.jpg,Resources/crave28.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/crave10.jpg
1.2639,#00cd00,Resources/look.jpg,Resources/neutral01.jpg
2.0223,#00cd00,Resources/look.jpg,Resources/neutral05.jpg
1.0111,#00cd00,Resources/look.jpg,Resources/crave06.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/crave07.jpg
1.0111,#00cd00,Resources/look.jpg,Resources/neutral18.jpg
0.7583,#00cd00,Resources/look.jpg,Resources/neutral11.jpg
1.2639,#0000ff,Resources/reappraise.jpg,Resources/crave17.jpg
1.2639,#0000ff,Resources/reappraise.jpg,Resources/crave36.jpg
1.2639,#00cd00,Resources/look.jpg,Resources/nocrave14.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/nocrave12.jpg
1.0111,#0000ff,Resources/reappraise.jpg,Resources/crave40.jpg
0.7583,#00cd00,Resources/look.jpg,Resources/crave34.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/nocrave17.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/neutral20.jpg
0.7583,#00cd00,Resources/look.jpg,Resources/crave20.jpg
0.7583,#0000ff,Resources/reappraise.jpg,Resources/crave13.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/crave08.jpg
0.7583,#00cd00,Resources/look.jpg,Resources/nocrave03.jpg
1.0111,#00cd00,Resources/look.jpg,Resources/neutral02.jpg
0.8847,#0000ff,Resources/reappraise.jpg,Resources/crave01.jpg
