jitter_duration,background_color,reappraise_or_look,image_file
0.7583,#0000ff,reappraise.jpg,crave35.jpg
0.8847,#00cd00,look.jpg,neutral06.jpg
0.8847,#00cd00,look.jpg,nocrave04.jpg
2.0223,#00cd00,look.jpg,crave09.jpg
0.7583,#00cd00,look.jpg,crave21.jpg
1.2639,#00cd00,look.jpg,neutral15.jpg
1.0111,#00cd00,look.jpg,neutral07.jpg
0.8847,#0000ff,reappraise.jpg,crave26.jpg
0.7583,#0000ff,reappraise.jpg,crave23.jpg
0.8847,#00cd00,look.jpg,nocrave07.jpg
0.8847,#00cd00,look.jpg,crave22.jpg
0.7583,#00cd00,look.jpg,nocrave16.jpg
1.0111,#00cd00,look.jpg,neutral19.jpg
0.8847,#00cd00,look.jpg,nocrave06.jpg
0.8847,#00cd00,look.jpg,crave24.jpg
1.0111,#0000ff,reappraise.jpg,crave04.jpg
0.8847,#00cd00,look.jpg,nocrave20.jpg
0.8847,#00cd00,look.jpg,nocrave09.jpg
1.0111,#0000ff,reappraise.jpg,crave28.jpg
0.8847,#00cd00,look.jpg,crave10.jpg
1.2639,#00cd00,look.jpg,neutral01.jpg
2.0223,#00cd00,look.jpg,neutral05.jpg
1.0111,#00cd00,look.jpg,crave06.jpg
0.8847,#00cd00,look.jpg,crave07.jpg
1.0111,#00cd00,look.jpg,neutral18.jpg
0.7583,#00cd00,look.jpg,neutral11.jpg
1.2639,#0000ff,reappraise.jpg,crave17.jpg
1.2639,#0000ff,reappraise.jpg,crave36.jpg
1.2639,#00cd00,look.jpg,nocrave14.jpg
0.8847,#00cd00,look.jpg,nocrave12.jpg
1.0111,#0000ff,reappraise.jpg,crave40.jpg
0.7583,#00cd00,look.jpg,crave34.jpg
0.8847,#00cd00,look.jpg,nocrave17.jpg
0.8847,#00cd00,look.jpg,neutral20.jpg
0.7583,#00cd00,look.jpg,crave20.jpg
0.7583,#0000ff,reappraise.jpg,crave13.jpg
0.8847,#00cd00,look.jpg,crave08.jpg
0.7583,#00cd00,look.jpg,nocrave03.jpg
1.0111,#00cd00,look.jpg,neutral02.jpg
0.8847,#0000ff,reappraise.jpg,crave01.jpg
